2025-04-23 15:10:40,093 INFO    MainThread:87501 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-23 15:10:40,094 INFO    MainThread:87501 [wandb_setup.py:_flush():67] Configure stats pid to 87501
2025-04-23 15:10:40,094 INFO    MainThread:87501 [wandb_setup.py:_flush():67] Loading settings from /home/lyngsberg/.config/wandb/settings
2025-04-23 15:10:40,094 INFO    MainThread:87501 [wandb_setup.py:_flush():67] Loading settings from /home/lyngsberg/fagproject/02466_project/wandb/settings
2025-04-23 15:10:40,094 INFO    MainThread:87501 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-23 15:10:40,094 INFO    MainThread:87501 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/lyngsberg/fagproject/02466_project/wandb/run-20250423_151040-1uu4uhqc/logs/debug.log
2025-04-23 15:10:40,094 INFO    MainThread:87501 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/lyngsberg/fagproject/02466_project/wandb/run-20250423_151040-1uu4uhqc/logs/debug-internal.log
2025-04-23 15:10:40,094 INFO    MainThread:87501 [wandb_init.py:init():761] calling init triggers
2025-04-23 15:10:40,094 INFO    MainThread:87501 [wandb_init.py:init():766] wandb.init called with sweep_config: {'batch_size': 32, 'data_type': 'train_s_n_2.pkl', 'epochs': 1000, 'learning_rate': 0.0036383075018423714, 'model_modul_name': ['PN_models', 'Polynomial_Network'], 'optimizer_name': 'BFGS', 'seed': 456}
config: {'_wandb': {}}
2025-04-23 15:10:40,094 INFO    MainThread:87501 [wandb_init.py:init():784] starting backend
2025-04-23 15:10:40,094 INFO    MainThread:87501 [wandb_init.py:init():788] sending inform_init request
2025-04-23 15:10:40,097 INFO    MainThread:87501 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-23 15:10:40,097 INFO    MainThread:87501 [wandb_init.py:init():798] backend started and connected
2025-04-23 15:10:40,097 INFO    MainThread:87501 [wandb_run.py:_config_callback():1261] config_cb None None {'batch_size': 32, 'data_type': 'train_s_n_2.pkl', 'epochs': 1000, 'learning_rate': 0.0036383075018423714, 'model_modul_name': ['PN_models', 'Polynomial_Network'], 'optimizer_name': 'BFGS', 'seed': 456}
2025-04-23 15:10:40,098 INFO    MainThread:87501 [wandb_init.py:init():891] updated telemetry
2025-04-23 15:10:40,101 INFO    MainThread:87501 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-23 15:10:41,031 INFO    MainThread:87501 [wandb_init.py:init():990] starting run threads in backend
2025-04-23 15:10:42,965 INFO    MainThread:87501 [wandb_run.py:_console_start():2375] atexit reg
2025-04-23 15:10:42,966 INFO    MainThread:87501 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-23 15:10:42,966 INFO    MainThread:87501 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-23 15:10:42,966 INFO    MainThread:87501 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-23 15:10:42,967 INFO    MainThread:87501 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-23 15:10:42,970 INFO    MainThread:87501 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/lyngsberg/fagproject/02466_project/wandb/run-20250423_151042-1uu4uhqc/logs/debug.log
2025-04-23 15:10:42,971 INFO    MainThread:87501 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/lyngsberg/fagproject/02466_project/wandb/run-20250423_151042-1uu4uhqc/logs/debug-internal.log
2025-04-23 15:10:42,971 INFO    MainThread:87501 [wandb_init.py:init():761] calling init triggers
2025-04-23 15:10:42,971 INFO    MainThread:87501 [wandb_init.py:init():766] wandb.init called with sweep_config: {'batch_size': 32, 'data_type': 'train_s_n_2.pkl', 'epochs': 1000, 'learning_rate': 0.0036383075018423714, 'model_modul_name': ['PN_models', 'Polynomial_Network'], 'optimizer_name': 'BFGS', 'seed': 456}
config: {'BATCH_SIZE': 32, 'LEARNING_RATE': 0.0036383075018423714, 'EPOCHS': 1000, 'SEED': 456, '_wandb': {}}
2025-04-23 15:10:42,971 INFO    MainThread:87501 [wandb_init.py:init():776] wandb.init() called while a run is active
2025-04-23 15:10:47,798 INFO    MsgRouterThr:87501 [mailbox.py:close():129] Closing mailbox, abandoning 0 handles.
