2025-04-23 15:26:57,285 INFO    StreamThr :159210 [internal.py:wandb_internal():83] W&B internal server running at pid: 159210, started at: 2025-04-23 15:26:57.284678
2025-04-23 15:26:57,288 INFO    WriterThread:159210 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/run-5p8otdkn.wandb
2025-04-23 15:26:58,165 INFO    SenderThread:159210 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files
2025-04-23 15:26:58,165 INFO    SenderThread:159210 [sender.py:_start_run_threads():1134] run started: 5p8otdkn with start time 1745414817.283619
2025-04-23 15:26:58,223 INFO    HandlerThread:159210 [system_monitor.py:start():187] Starting system monitor
2025-04-23 15:26:58,224 INFO    SystemMonitor:159210 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-23 15:26:58,224 INFO    HandlerThread:159210 [system_monitor.py:probe():207] Collecting system info
2025-04-23 15:26:58,224 INFO    SystemMonitor:159210 [interfaces.py:start():186] Started cpu monitoring
2025-04-23 15:26:58,225 INFO    SystemMonitor:159210 [interfaces.py:start():186] Started disk monitoring
2025-04-23 15:26:58,225 INFO    SystemMonitor:159210 [interfaces.py:start():186] Started gpu monitoring
2025-04-23 15:26:58,226 INFO    SystemMonitor:159210 [interfaces.py:start():186] Started memory monitoring
2025-04-23 15:26:58,226 INFO    SystemMonitor:159210 [interfaces.py:start():186] Started network monitoring
2025-04-23 15:26:58,315 INFO    HandlerThread:159210 [system_monitor.py:probe():217] Finished collecting system info
2025-04-23 15:26:58,315 INFO    HandlerThread:159210 [system_monitor.py:probe():220] Publishing system info
2025-04-23 15:26:59,081 INFO    HandlerThread:159210 [system_monitor.py:probe():222] Finished publishing system info
2025-04-23 15:26:59,082 INFO    SenderThread:159210 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-23 15:26:59,155 INFO    Thread-12 :159210 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/requirements.txt
2025-04-23 15:26:59,155 INFO    Thread-12 :159210 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/wandb-metadata.json
2025-04-23 15:26:59,155 INFO    Thread-12 :159210 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/conda-environment.yaml
2025-04-23 15:26:59,679 INFO    wandb-upload_0:159210 [upload_job.py:push():130] Uploaded file /tmp/tmphaytkxl9wandb/j2nghqfk-wandb-metadata.json
2025-04-23 15:27:00,155 INFO    Thread-12 :159210 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/output.log
2025-04-23 15:27:02,155 INFO    Thread-12 :159210 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/output.log
2025-04-23 15:27:05,726 INFO    SenderThread:159210 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-23 15:27:06,157 INFO    Thread-12 :159210 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/wandb-summary.json
2025-04-23 15:27:06,418 INFO    SenderThread:159210 [sender.py:send_request_log_artifact():1487] logged artifact Neural_Network - {'id': 'QXJ0aWZhY3Q6MTY3NjQ3MDQzNw==', 'state': 'COMMITTED', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjU3ODM5NzE2Ng==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTY3NjcyOTkwNA==', 'versionIndex': 22}}}
2025-04-23 15:27:06,418 INFO    SenderThread:159210 [sender.py:send_exit():554] handling exit code: 0
2025-04-23 15:27:06,418 INFO    SenderThread:159210 [sender.py:send_exit():556] handling runtime: 7
2025-04-23 15:27:06,419 INFO    SenderThread:159210 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-23 15:27:06,419 INFO    SenderThread:159210 [sender.py:send_exit():562] send defer
2025-04-23 15:27:06,419 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 0
2025-04-23 15:27:06,419 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 0
2025-04-23 15:27:06,419 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 1
2025-04-23 15:27:06,420 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 1
2025-04-23 15:27:06,420 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 1
2025-04-23 15:27:06,420 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 2
2025-04-23 15:27:06,420 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 2
2025-04-23 15:27:06,420 INFO    HandlerThread:159210 [system_monitor.py:finish():196] Stopping system monitor
2025-04-23 15:27:06,422 INFO    HandlerThread:159210 [interfaces.py:finish():198] Joined cpu monitor
2025-04-23 15:27:06,422 INFO    HandlerThread:159210 [interfaces.py:finish():198] Joined disk monitor
2025-04-23 15:27:06,429 INFO    HandlerThread:159210 [interfaces.py:finish():198] Joined gpu monitor
2025-04-23 15:27:06,429 INFO    HandlerThread:159210 [interfaces.py:finish():198] Joined memory monitor
2025-04-23 15:27:06,429 INFO    HandlerThread:159210 [interfaces.py:finish():198] Joined network monitor
2025-04-23 15:27:06,429 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 2
2025-04-23 15:27:06,429 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 3
2025-04-23 15:27:06,429 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 3
2025-04-23 15:27:06,430 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 3
2025-04-23 15:27:06,430 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 4
2025-04-23 15:27:06,430 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 4
2025-04-23 15:27:06,430 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 4
2025-04-23 15:27:06,430 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 5
2025-04-23 15:27:06,430 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 5
2025-04-23 15:27:06,430 INFO    SenderThread:159210 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-23 15:27:06,430 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 5
2025-04-23 15:27:06,430 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 6
2025-04-23 15:27:06,430 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 6
2025-04-23 15:27:06,430 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 6
2025-04-23 15:27:06,657 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 7
2025-04-23 15:27:06,658 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 7
2025-04-23 15:27:06,658 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 7
2025-04-23 15:27:07,157 INFO    Thread-12 :159210 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/wandb-summary.json
2025-04-23 15:27:07,157 INFO    Thread-12 :159210 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/config.yaml
2025-04-23 15:27:07,389 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 8
2025-04-23 15:27:07,391 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 8
2025-04-23 15:27:07,392 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 8
2025-04-23 15:27:07,392 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 9
2025-04-23 15:27:07,392 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 9
2025-04-23 15:27:07,393 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 9
2025-04-23 15:27:07,393 INFO    SenderThread:159210 [dir_watcher.py:finish():359] shutting down directory watcher
2025-04-23 15:27:08,157 INFO    Thread-12 :159210 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/output.log
2025-04-23 15:27:08,158 INFO    SenderThread:159210 [dir_watcher.py:finish():389] scan: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files
2025-04-23 15:27:08,158 INFO    SenderThread:159210 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/output.log output.log
2025-04-23 15:27:08,159 INFO    SenderThread:159210 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/requirements.txt requirements.txt
2025-04-23 15:27:08,159 INFO    SenderThread:159210 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/wandb-metadata.json wandb-metadata.json
2025-04-23 15:27:08,159 INFO    SenderThread:159210 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/config.yaml config.yaml
2025-04-23 15:27:08,159 INFO    SenderThread:159210 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/conda-environment.yaml conda-environment.yaml
2025-04-23 15:27:08,159 INFO    SenderThread:159210 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/wandb-summary.json wandb-summary.json
2025-04-23 15:27:08,159 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 10
2025-04-23 15:27:08,160 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 10
2025-04-23 15:27:08,161 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 10
2025-04-23 15:27:08,161 INFO    SenderThread:159210 [file_pusher.py:finish():169] shutting down file pusher
2025-04-23 15:27:08,551 INFO    wandb-upload_0:159210 [upload_job.py:push():130] Uploaded file /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/output.log
2025-04-23 15:27:08,613 INFO    wandb-upload_1:159210 [upload_job.py:push():130] Uploaded file /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/requirements.txt
2025-04-23 15:27:08,644 INFO    wandb-upload_4:159210 [upload_job.py:push():130] Uploaded file /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/wandb-summary.json
2025-04-23 15:27:08,681 INFO    wandb-upload_3:159210 [upload_job.py:push():130] Uploaded file /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/conda-environment.yaml
2025-04-23 15:27:08,703 INFO    wandb-upload_2:159210 [upload_job.py:push():130] Uploaded file /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/files/config.yaml
2025-04-23 15:27:08,904 INFO    Thread-11 (_thread_body):159210 [sender.py:transition_state():582] send defer: 11
2025-04-23 15:27:08,905 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 11
2025-04-23 15:27:08,906 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 11
2025-04-23 15:27:08,906 INFO    SenderThread:159210 [file_pusher.py:join():175] waiting for file pusher
2025-04-23 15:27:08,907 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 12
2025-04-23 15:27:08,908 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 12
2025-04-23 15:27:08,908 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 12
2025-04-23 15:27:08,908 INFO    SenderThread:159210 [file_stream.py:finish():601] file stream finish called
2025-04-23 15:27:09,095 INFO    SenderThread:159210 [file_stream.py:finish():605] file stream finish is done
2025-04-23 15:27:09,095 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 13
2025-04-23 15:27:09,096 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 13
2025-04-23 15:27:09,097 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 13
2025-04-23 15:27:09,097 INFO    SenderThread:159210 [sender.py:transition_state():582] send defer: 14
2025-04-23 15:27:09,097 INFO    HandlerThread:159210 [handler.py:handle_request_defer():188] handle defer: 14
2025-04-23 15:27:09,098 INFO    SenderThread:159210 [sender.py:send_request_defer():578] handle sender defer: 14
2025-04-23 15:27:09,101 INFO    MainThread:159210 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-04-23 15:27:09,101 INFO    MainThread:159210 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-04-23 15:27:09,102 INFO    MainThread:159210 [wandb_run.py:_footer_sync_info():3917] logging synced files
2025-04-23 15:27:09,102 INFO    HandlerThread:159210 [handler.py:finish():897] shutting down handler
2025-04-23 15:27:10,100 INFO    WriterThread:159210 [datastore.py:close():296] close: /home/thousig/fagproject/02466_project/wandb/run-20250423_152657-5p8otdkn/run-5p8otdkn.wandb
2025-04-23 15:27:10,100 INFO    SenderThread:159210 [sender.py:finish():1582] shutting down sender
