2025-04-23 15:29:31,471 INFO    StreamThr :161193 [internal.py:wandb_internal():83] W&B internal server running at pid: 161193, started at: 2025-04-23 15:29:31.471070
2025-04-23 15:29:31,475 INFO    WriterThread:161193 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250423_152931-423333sc/run-423333sc.wandb
2025-04-23 15:29:31,935 INFO    SenderThread:161193 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250423_152931-423333sc/files
2025-04-23 15:29:31,935 INFO    SenderThread:161193 [sender.py:_start_run_threads():1134] run started: 423333sc with start time 1745414971.470017
2025-04-23 15:29:31,980 INFO    HandlerThread:161193 [system_monitor.py:start():187] Starting system monitor
2025-04-23 15:29:31,981 INFO    SystemMonitor:161193 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-23 15:29:31,981 INFO    HandlerThread:161193 [system_monitor.py:probe():207] Collecting system info
2025-04-23 15:29:31,981 INFO    SystemMonitor:161193 [interfaces.py:start():186] Started cpu monitoring
2025-04-23 15:29:31,982 INFO    SystemMonitor:161193 [interfaces.py:start():186] Started disk monitoring
2025-04-23 15:29:31,982 INFO    SystemMonitor:161193 [interfaces.py:start():186] Started gpu monitoring
2025-04-23 15:29:31,983 INFO    SystemMonitor:161193 [interfaces.py:start():186] Started memory monitoring
2025-04-23 15:29:31,985 INFO    SystemMonitor:161193 [interfaces.py:start():186] Started network monitoring
2025-04-23 15:29:32,109 INFO    HandlerThread:161193 [system_monitor.py:probe():217] Finished collecting system info
2025-04-23 15:29:32,109 INFO    HandlerThread:161193 [system_monitor.py:probe():220] Publishing system info
2025-04-23 15:29:32,935 INFO    Thread-12 :161193 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_152931-423333sc/files/conda-environment.yaml
2025-04-23 15:29:32,976 INFO    HandlerThread:161193 [system_monitor.py:probe():222] Finished publishing system info
2025-04-23 15:29:32,977 INFO    SenderThread:161193 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-23 15:29:33,580 INFO    wandb-upload_0:161193 [upload_job.py:push():130] Uploaded file /tmp/tmpd5viw2ppwandb/dj9j0lww-wandb-metadata.json
2025-04-23 15:29:33,935 INFO    Thread-12 :161193 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_152931-423333sc/files/wandb-metadata.json
2025-04-23 15:29:33,935 INFO    Thread-12 :161193 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_152931-423333sc/files/requirements.txt
2025-04-23 15:29:33,935 INFO    Thread-12 :161193 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_152931-423333sc/files/output.log
2025-04-23 15:29:35,936 INFO    Thread-12 :161193 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_152931-423333sc/files/output.log
