2025-04-23 15:30:18,828 INFO    StreamThr :161812 [internal.py:wandb_internal():83] W&B internal server running at pid: 161812, started at: 2025-04-23 15:30:18.828567
2025-04-23 15:30:18,832 INFO    WriterThread:161812 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/run-uz0oxbxt.wandb
2025-04-23 15:30:19,232 INFO    SenderThread:161812 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files
2025-04-23 15:30:19,232 INFO    SenderThread:161812 [sender.py:_start_run_threads():1134] run started: uz0oxbxt with start time 1745415018.827389
2025-04-23 15:30:19,305 INFO    HandlerThread:161812 [system_monitor.py:start():187] Starting system monitor
2025-04-23 15:30:19,306 INFO    SystemMonitor:161812 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-23 15:30:19,306 INFO    HandlerThread:161812 [system_monitor.py:probe():207] Collecting system info
2025-04-23 15:30:19,306 INFO    SystemMonitor:161812 [interfaces.py:start():186] Started cpu monitoring
2025-04-23 15:30:19,307 INFO    SystemMonitor:161812 [interfaces.py:start():186] Started disk monitoring
2025-04-23 15:30:19,309 INFO    SystemMonitor:161812 [interfaces.py:start():186] Started gpu monitoring
2025-04-23 15:30:19,309 INFO    SystemMonitor:161812 [interfaces.py:start():186] Started memory monitoring
2025-04-23 15:30:19,309 INFO    SystemMonitor:161812 [interfaces.py:start():186] Started network monitoring
2025-04-23 15:30:19,447 INFO    HandlerThread:161812 [system_monitor.py:probe():217] Finished collecting system info
2025-04-23 15:30:19,447 INFO    HandlerThread:161812 [system_monitor.py:probe():220] Publishing system info
2025-04-23 15:30:20,233 INFO    Thread-12 :161812 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files/conda-environment.yaml
2025-04-23 15:30:20,314 INFO    HandlerThread:161812 [system_monitor.py:probe():222] Finished publishing system info
2025-04-23 15:30:20,315 INFO    SenderThread:161812 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-23 15:30:20,895 INFO    wandb-upload_0:161812 [upload_job.py:push():130] Uploaded file /tmp/tmpl95t7a4lwandb/9dutnrgv-wandb-metadata.json
2025-04-23 15:30:21,233 INFO    Thread-12 :161812 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files/output.log
2025-04-23 15:30:21,233 INFO    Thread-12 :161812 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files/wandb-metadata.json
2025-04-23 15:30:21,233 INFO    Thread-12 :161812 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files/requirements.txt
2025-04-23 15:30:23,233 INFO    Thread-12 :161812 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files/output.log
2025-04-23 15:30:27,778 INFO    SenderThread:161812 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-23 15:30:28,235 INFO    Thread-12 :161812 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files/wandb-summary.json
2025-04-23 15:30:28,542 INFO    SenderThread:161812 [sender.py:send_request_log_artifact():1487] logged artifact Polynomial_Network - {'id': 'QXJ0aWZhY3Q6MTY3Njc1ODMwOA==', 'state': 'COMMITTED', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjYxNzM2OTY0Mw==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTY3Njc1ODMwOA==', 'versionIndex': 0}}}
2025-04-23 15:30:28,542 INFO    SenderThread:161812 [sender.py:send_exit():554] handling exit code: 0
2025-04-23 15:30:28,542 INFO    SenderThread:161812 [sender.py:send_exit():556] handling runtime: 9
2025-04-23 15:30:28,551 INFO    SenderThread:161812 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-23 15:30:28,551 INFO    SenderThread:161812 [sender.py:send_exit():562] send defer
2025-04-23 15:30:28,552 INFO    HandlerThread:161812 [handler.py:handle_request_defer():188] handle defer: 0
2025-04-23 15:30:28,552 INFO    SenderThread:161812 [sender.py:send_request_defer():578] handle sender defer: 0
2025-04-23 15:30:28,552 INFO    SenderThread:161812 [sender.py:transition_state():582] send defer: 1
2025-04-23 15:30:28,552 INFO    HandlerThread:161812 [handler.py:handle_request_defer():188] handle defer: 1
2025-04-23 15:30:28,552 INFO    SenderThread:161812 [sender.py:send_request_defer():578] handle sender defer: 1
2025-04-23 15:30:28,552 INFO    SenderThread:161812 [sender.py:transition_state():582] send defer: 2
2025-04-23 15:30:28,552 INFO    HandlerThread:161812 [handler.py:handle_request_defer():188] handle defer: 2
2025-04-23 15:30:28,552 INFO    HandlerThread:161812 [system_monitor.py:finish():196] Stopping system monitor
2025-04-23 15:30:28,553 INFO    HandlerThread:161812 [interfaces.py:finish():198] Joined cpu monitor
2025-04-23 15:30:28,553 INFO    HandlerThread:161812 [interfaces.py:finish():198] Joined disk monitor
2025-04-23 15:30:28,560 INFO    HandlerThread:161812 [interfaces.py:finish():198] Joined gpu monitor
2025-04-23 15:30:28,560 INFO    HandlerThread:161812 [interfaces.py:finish():198] Joined memory monitor
2025-04-23 15:30:28,560 INFO    HandlerThread:161812 [interfaces.py:finish():198] Joined network monitor
2025-04-23 15:30:28,560 INFO    SenderThread:161812 [sender.py:send_request_defer():578] handle sender defer: 2
2025-04-23 15:30:28,560 INFO    SenderThread:161812 [sender.py:transition_state():582] send defer: 3
2025-04-23 15:30:28,560 INFO    HandlerThread:161812 [handler.py:handle_request_defer():188] handle defer: 3
2025-04-23 15:30:28,561 INFO    SenderThread:161812 [sender.py:send_request_defer():578] handle sender defer: 3
2025-04-23 15:30:28,561 INFO    SenderThread:161812 [sender.py:transition_state():582] send defer: 4
2025-04-23 15:30:28,561 INFO    HandlerThread:161812 [handler.py:handle_request_defer():188] handle defer: 4
2025-04-23 15:30:28,561 INFO    SenderThread:161812 [sender.py:send_request_defer():578] handle sender defer: 4
2025-04-23 15:30:28,561 INFO    SenderThread:161812 [sender.py:transition_state():582] send defer: 5
2025-04-23 15:30:28,561 INFO    HandlerThread:161812 [handler.py:handle_request_defer():188] handle defer: 5
2025-04-23 15:30:28,561 INFO    SenderThread:161812 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-23 15:30:28,561 INFO    SenderThread:161812 [sender.py:send_request_defer():578] handle sender defer: 5
2025-04-23 15:30:28,561 INFO    SenderThread:161812 [sender.py:transition_state():582] send defer: 6
2025-04-23 15:30:28,562 INFO    HandlerThread:161812 [handler.py:handle_request_defer():188] handle defer: 6
2025-04-23 15:30:28,562 INFO    SenderThread:161812 [sender.py:send_request_defer():578] handle sender defer: 6
2025-04-23 15:30:28,740 INFO    SenderThread:161812 [sender.py:transition_state():582] send defer: 7
2025-04-23 15:30:28,740 INFO    HandlerThread:161812 [handler.py:handle_request_defer():188] handle defer: 7
2025-04-23 15:30:28,741 INFO    SenderThread:161812 [sender.py:send_request_defer():578] handle sender defer: 7
2025-04-23 15:30:29,236 INFO    Thread-12 :161812 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files/output.log
2025-04-23 15:30:29,237 INFO    Thread-12 :161812 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files/config.yaml
2025-04-23 15:30:29,237 INFO    Thread-12 :161812 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files/wandb-summary.json
2025-04-23 15:30:30,588 INFO    SenderThread:161812 [sender.py:transition_state():582] send defer: 8
2025-04-23 15:30:30,588 INFO    HandlerThread:161812 [handler.py:handle_request_defer():188] handle defer: 8
2025-04-23 15:30:30,589 INFO    SenderThread:161812 [sender.py:send_request_defer():578] handle sender defer: 8
2025-04-23 15:30:30,589 INFO    SenderThread:161812 [sender.py:transition_state():582] send defer: 9
2025-04-23 15:30:30,589 INFO    HandlerThread:161812 [handler.py:handle_request_defer():188] handle defer: 9
2025-04-23 15:30:30,590 INFO    SenderThread:161812 [sender.py:send_request_defer():578] handle sender defer: 9
2025-04-23 15:30:30,590 INFO    SenderThread:161812 [dir_watcher.py:finish():359] shutting down directory watcher
2025-04-23 15:30:31,237 INFO    Thread-12 :161812 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files/output.log
2025-04-23 15:30:31,238 INFO    SenderThread:161812 [dir_watcher.py:finish():389] scan: /home/thousig/fagproject/02466_project/wandb/run-20250423_153018-uz0oxbxt/files
