2025-04-23 15:31:00,986 INFO    StreamThr :162364 [internal.py:wandb_internal():83] W&B internal server running at pid: 162364, started at: 2025-04-23 15:31:00.986337
2025-04-23 15:31:00,989 INFO    WriterThread:162364 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250423_153100-jvz41ckq/run-jvz41ckq.wandb
2025-04-23 15:31:01,452 INFO    SenderThread:162364 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250423_153100-jvz41ckq/files
2025-04-23 15:31:01,452 INFO    SenderThread:162364 [sender.py:_start_run_threads():1134] run started: jvz41ckq with start time 1745415060.984835
2025-04-23 15:31:01,539 INFO    HandlerThread:162364 [system_monitor.py:start():187] Starting system monitor
2025-04-23 15:31:01,539 INFO    SystemMonitor:162364 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-23 15:31:01,539 INFO    HandlerThread:162364 [system_monitor.py:probe():207] Collecting system info
2025-04-23 15:31:01,540 INFO    SystemMonitor:162364 [interfaces.py:start():186] Started cpu monitoring
2025-04-23 15:31:01,541 INFO    SystemMonitor:162364 [interfaces.py:start():186] Started disk monitoring
2025-04-23 15:31:01,541 INFO    SystemMonitor:162364 [interfaces.py:start():186] Started gpu monitoring
2025-04-23 15:31:01,542 INFO    SystemMonitor:162364 [interfaces.py:start():186] Started memory monitoring
2025-04-23 15:31:01,542 INFO    SystemMonitor:162364 [interfaces.py:start():186] Started network monitoring
2025-04-23 15:31:01,638 INFO    HandlerThread:162364 [system_monitor.py:probe():217] Finished collecting system info
2025-04-23 15:31:01,638 INFO    HandlerThread:162364 [system_monitor.py:probe():220] Publishing system info
2025-04-23 15:31:02,405 INFO    HandlerThread:162364 [system_monitor.py:probe():222] Finished publishing system info
2025-04-23 15:31:02,407 INFO    SenderThread:162364 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-23 15:31:02,452 INFO    Thread-12 :162364 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153100-jvz41ckq/files/wandb-metadata.json
2025-04-23 15:31:02,452 INFO    Thread-12 :162364 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153100-jvz41ckq/files/conda-environment.yaml
2025-04-23 15:31:02,452 INFO    Thread-12 :162364 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153100-jvz41ckq/files/requirements.txt
2025-04-23 15:31:02,995 INFO    wandb-upload_0:162364 [upload_job.py:push():130] Uploaded file /tmp/tmp0byqs9sdwandb/k66ksdwe-wandb-metadata.json
2025-04-23 15:31:03,452 INFO    Thread-12 :162364 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153100-jvz41ckq/files/output.log
2025-04-23 15:31:05,452 INFO    Thread-12 :162364 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_153100-jvz41ckq/files/output.log
2025-04-23 15:31:07,653 INFO    SenderThread:162364 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-23 15:31:08,366 INFO    SenderThread:162364 [sender.py:send_request_log_artifact():1487] logged artifact Polynomial_Network - {'id': 'QXJ0aWZhY3Q6MTY3Njc1ODMwOA==', 'state': 'COMMITTED', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjYxNzM2OTY0Mw==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTY3Njc1ODMwOA==', 'versionIndex': 0}}}
2025-04-23 15:31:08,367 INFO    SenderThread:162364 [sender.py:send_exit():554] handling exit code: 0
2025-04-23 15:31:08,367 INFO    SenderThread:162364 [sender.py:send_exit():556] handling runtime: 6
2025-04-23 15:31:08,367 INFO    SenderThread:162364 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-23 15:31:08,367 INFO    SenderThread:162364 [sender.py:send_exit():562] send defer
2025-04-23 15:31:08,367 INFO    HandlerThread:162364 [handler.py:handle_request_defer():188] handle defer: 0
2025-04-23 15:31:08,367 INFO    SenderThread:162364 [sender.py:send_request_defer():578] handle sender defer: 0
2025-04-23 15:31:08,367 INFO    SenderThread:162364 [sender.py:transition_state():582] send defer: 1
2025-04-23 15:31:08,367 INFO    HandlerThread:162364 [handler.py:handle_request_defer():188] handle defer: 1
