2025-04-23 15:31:16,655 INFO    StreamThr :162602 [internal.py:wandb_internal():83] W&B internal server running at pid: 162602, started at: 2025-04-23 15:31:16.654749
2025-04-23 15:31:16,658 INFO    WriterThread:162602 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/run-x8gmm3dq.wandb
2025-04-23 15:31:17,046 INFO    SenderThread:162602 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files
2025-04-23 15:31:17,046 INFO    SenderThread:162602 [sender.py:_start_run_threads():1134] run started: x8gmm3dq with start time 1745415076.653214
2025-04-23 15:31:17,100 INFO    HandlerThread:162602 [system_monitor.py:start():187] Starting system monitor
2025-04-23 15:31:17,101 INFO    SystemMonitor:162602 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-23 15:31:17,101 INFO    HandlerThread:162602 [system_monitor.py:probe():207] Collecting system info
2025-04-23 15:31:17,101 INFO    SystemMonitor:162602 [interfaces.py:start():186] Started cpu monitoring
2025-04-23 15:31:17,102 INFO    SystemMonitor:162602 [interfaces.py:start():186] Started disk monitoring
2025-04-23 15:31:17,103 INFO    SystemMonitor:162602 [interfaces.py:start():186] Started gpu monitoring
2025-04-23 15:31:17,104 INFO    SystemMonitor:162602 [interfaces.py:start():186] Started memory monitoring
2025-04-23 15:31:17,104 INFO    SystemMonitor:162602 [interfaces.py:start():186] Started network monitoring
2025-04-23 15:31:17,178 INFO    HandlerThread:162602 [system_monitor.py:probe():217] Finished collecting system info
2025-04-23 15:31:17,178 INFO    HandlerThread:162602 [system_monitor.py:probe():220] Publishing system info
2025-04-23 15:31:17,995 INFO    HandlerThread:162602 [system_monitor.py:probe():222] Finished publishing system info
2025-04-23 15:31:17,996 INFO    SenderThread:162602 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-23 15:31:18,046 INFO    Thread-12 :162602 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/conda-environment.yaml
2025-04-23 15:31:18,046 INFO    Thread-12 :162602 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/wandb-metadata.json
2025-04-23 15:31:18,046 INFO    Thread-12 :162602 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/requirements.txt
2025-04-23 15:31:18,626 INFO    wandb-upload_0:162602 [upload_job.py:push():130] Uploaded file /tmp/tmpjuciou_9wandb/anynikw6-wandb-metadata.json
2025-04-23 15:31:19,046 INFO    Thread-12 :162602 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/output.log
2025-04-23 15:31:21,153 INFO    Thread-12 :162602 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/output.log
2025-04-23 15:31:24,644 INFO    SenderThread:162602 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-23 15:31:25,154 INFO    Thread-12 :162602 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/wandb-summary.json
2025-04-23 15:31:25,405 INFO    SenderThread:162602 [sender.py:send_request_log_artifact():1487] logged artifact Polynomial_Network - {'id': 'QXJ0aWZhY3Q6MTY3Njc1ODMwOA==', 'state': 'COMMITTED', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjYxNzM2OTY0Mw==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTY3Njc1ODMwOA==', 'versionIndex': 0}}}
2025-04-23 15:31:25,405 INFO    SenderThread:162602 [sender.py:send_exit():554] handling exit code: 0
2025-04-23 15:31:25,405 INFO    SenderThread:162602 [sender.py:send_exit():556] handling runtime: 7
2025-04-23 15:31:25,407 INFO    SenderThread:162602 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-23 15:31:25,407 INFO    SenderThread:162602 [sender.py:send_exit():562] send defer
2025-04-23 15:31:25,407 INFO    HandlerThread:162602 [handler.py:handle_request_defer():188] handle defer: 0
2025-04-23 15:31:25,407 INFO    SenderThread:162602 [sender.py:send_request_defer():578] handle sender defer: 0
2025-04-23 15:31:25,407 INFO    SenderThread:162602 [sender.py:transition_state():582] send defer: 1
2025-04-23 15:31:25,407 INFO    HandlerThread:162602 [handler.py:handle_request_defer():188] handle defer: 1
2025-04-23 15:31:25,408 INFO    SenderThread:162602 [sender.py:send_request_defer():578] handle sender defer: 1
2025-04-23 15:31:25,408 INFO    SenderThread:162602 [sender.py:transition_state():582] send defer: 2
2025-04-23 15:31:25,408 INFO    HandlerThread:162602 [handler.py:handle_request_defer():188] handle defer: 2
2025-04-23 15:31:25,408 INFO    HandlerThread:162602 [system_monitor.py:finish():196] Stopping system monitor
2025-04-23 15:31:25,408 INFO    HandlerThread:162602 [interfaces.py:finish():198] Joined cpu monitor
2025-04-23 15:31:25,408 INFO    HandlerThread:162602 [interfaces.py:finish():198] Joined disk monitor
2025-04-23 15:31:25,415 INFO    HandlerThread:162602 [interfaces.py:finish():198] Joined gpu monitor
2025-04-23 15:31:25,415 INFO    HandlerThread:162602 [interfaces.py:finish():198] Joined memory monitor
2025-04-23 15:31:25,415 INFO    HandlerThread:162602 [interfaces.py:finish():198] Joined network monitor
2025-04-23 15:31:25,415 INFO    SenderThread:162602 [sender.py:send_request_defer():578] handle sender defer: 2
2025-04-23 15:31:25,415 INFO    SenderThread:162602 [sender.py:transition_state():582] send defer: 3
2025-04-23 15:31:25,415 INFO    HandlerThread:162602 [handler.py:handle_request_defer():188] handle defer: 3
2025-04-23 15:31:25,415 INFO    SenderThread:162602 [sender.py:send_request_defer():578] handle sender defer: 3
2025-04-23 15:31:25,415 INFO    SenderThread:162602 [sender.py:transition_state():582] send defer: 4
2025-04-23 15:31:25,415 INFO    HandlerThread:162602 [handler.py:handle_request_defer():188] handle defer: 4
2025-04-23 15:31:25,415 INFO    SenderThread:162602 [sender.py:send_request_defer():578] handle sender defer: 4
2025-04-23 15:31:25,415 INFO    SenderThread:162602 [sender.py:transition_state():582] send defer: 5
2025-04-23 15:31:25,416 INFO    HandlerThread:162602 [handler.py:handle_request_defer():188] handle defer: 5
2025-04-23 15:31:25,416 INFO    SenderThread:162602 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-23 15:31:25,416 INFO    SenderThread:162602 [sender.py:send_request_defer():578] handle sender defer: 5
2025-04-23 15:31:25,416 INFO    SenderThread:162602 [sender.py:transition_state():582] send defer: 6
2025-04-23 15:31:25,416 INFO    HandlerThread:162602 [handler.py:handle_request_defer():188] handle defer: 6
2025-04-23 15:31:25,416 INFO    SenderThread:162602 [sender.py:send_request_defer():578] handle sender defer: 6
2025-04-23 15:31:25,615 INFO    SenderThread:162602 [sender.py:transition_state():582] send defer: 7
2025-04-23 15:31:25,615 INFO    HandlerThread:162602 [handler.py:handle_request_defer():188] handle defer: 7
2025-04-23 15:31:25,616 INFO    SenderThread:162602 [sender.py:send_request_defer():578] handle sender defer: 7
2025-04-23 15:31:26,155 INFO    Thread-12 :162602 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/config.yaml
2025-04-23 15:31:26,155 INFO    Thread-12 :162602 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/wandb-summary.json
2025-04-23 15:31:27,156 INFO    Thread-12 :162602 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/output.log
2025-04-23 15:31:28,775 INFO    SenderThread:162602 [sender.py:transition_state():582] send defer: 8
2025-04-23 15:31:28,775 INFO    HandlerThread:162602 [handler.py:handle_request_defer():188] handle defer: 8
2025-04-23 15:31:28,776 INFO    SenderThread:162602 [sender.py:send_request_defer():578] handle sender defer: 8
2025-04-23 15:31:28,776 INFO    SenderThread:162602 [sender.py:transition_state():582] send defer: 9
2025-04-23 15:31:28,776 INFO    HandlerThread:162602 [handler.py:handle_request_defer():188] handle defer: 9
2025-04-23 15:31:28,776 INFO    SenderThread:162602 [sender.py:send_request_defer():578] handle sender defer: 9
2025-04-23 15:31:28,776 INFO    SenderThread:162602 [dir_watcher.py:finish():359] shutting down directory watcher
2025-04-23 15:31:29,157 INFO    Thread-12 :162602 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/output.log
2025-04-23 15:31:29,159 INFO    SenderThread:162602 [dir_watcher.py:finish():389] scan: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files
2025-04-23 15:31:29,159 INFO    SenderThread:162602 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/output.log output.log
2025-04-23 15:31:29,159 INFO    SenderThread:162602 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/requirements.txt requirements.txt
2025-04-23 15:31:29,159 INFO    SenderThread:162602 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/wandb-metadata.json wandb-metadata.json
2025-04-23 15:31:29,160 INFO    SenderThread:162602 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/config.yaml config.yaml
2025-04-23 15:31:29,161 INFO    SenderThread:162602 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/conda-environment.yaml conda-environment.yaml
2025-04-23 15:31:29,161 INFO    SenderThread:162602 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250423_153116-x8gmm3dq/files/wandb-summary.json wandb-summary.json
2025-04-23 15:31:29,161 INFO    SenderThread:162602 [sender.py:transition_state():582] send defer: 10
2025-04-23 15:31:29,166 INFO    HandlerThread:162602 [handler.py:handle_request_defer():188] handle defer: 10
2025-04-23 15:31:29,168 INFO    SenderThread:162602 [sender.py:send_request_defer():578] handle sender defer: 10
2025-04-23 15:31:29,168 INFO    SenderThread:162602 [file_pusher.py:finish():169] shutting down file pusher
