2025-04-23 15:35:25,182 INFO    StreamThr :165805 [internal.py:wandb_internal():83] W&B internal server running at pid: 165805, started at: 2025-04-23 15:35:25.181500
2025-04-23 15:35:25,185 INFO    WriterThread:165805 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250423_153525-3r7plwnm/run-3r7plwnm.wandb
2025-04-23 15:35:25,624 INFO    SenderThread:165805 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250423_153525-3r7plwnm/files
2025-04-23 15:35:25,624 INFO    SenderThread:165805 [sender.py:_start_run_threads():1134] run started: 3r7plwnm with start time 1745415325.180202
2025-04-23 15:35:25,657 INFO    HandlerThread:165805 [system_monitor.py:start():187] Starting system monitor
2025-04-23 15:35:25,657 INFO    SystemMonitor:165805 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-23 15:35:25,657 INFO    HandlerThread:165805 [system_monitor.py:probe():207] Collecting system info
2025-04-23 15:35:25,658 INFO    SystemMonitor:165805 [interfaces.py:start():186] Started cpu monitoring
2025-04-23 15:35:25,658 INFO    SystemMonitor:165805 [interfaces.py:start():186] Started disk monitoring
2025-04-23 15:35:25,659 INFO    SystemMonitor:165805 [interfaces.py:start():186] Started gpu monitoring
2025-04-23 15:35:25,660 INFO    SystemMonitor:165805 [interfaces.py:start():186] Started memory monitoring
2025-04-23 15:35:25,660 INFO    SystemMonitor:165805 [interfaces.py:start():186] Started network monitoring
2025-04-23 15:35:25,758 INFO    HandlerThread:165805 [system_monitor.py:probe():217] Finished collecting system info
2025-04-23 15:35:25,758 INFO    HandlerThread:165805 [system_monitor.py:probe():220] Publishing system info
2025-04-23 15:35:26,524 INFO    HandlerThread:165805 [system_monitor.py:probe():222] Finished publishing system info
2025-04-23 15:35:26,525 INFO    SenderThread:165805 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-23 15:35:26,625 INFO    Thread-12 :165805 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153525-3r7plwnm/files/wandb-metadata.json
2025-04-23 15:35:26,625 INFO    Thread-12 :165805 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153525-3r7plwnm/files/requirements.txt
2025-04-23 15:35:26,625 INFO    Thread-12 :165805 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250423_153525-3r7plwnm/files/conda-environment.yaml
2025-04-23 15:35:27,107 INFO    wandb-upload_0:165805 [upload_job.py:push():130] Uploaded file /tmp/tmprklo3waqwandb/72pz24tn-wandb-metadata.json
