2025-04-30 12:24:25,621 INFO    StreamThr :156002 [internal.py:wandb_internal():83] W&B internal server running at pid: 156002, started at: 2025-04-30 12:24:25.621637
2025-04-30 12:24:25,625 INFO    WriterThread:156002 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250430_122425-4lag5kew/run-4lag5kew.wandb
2025-04-30 12:24:26,105 INFO    SenderThread:156002 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250430_122425-4lag5kew/files
2025-04-30 12:24:26,106 INFO    SenderThread:156002 [sender.py:_start_run_threads():1134] run started: 4lag5kew with start time 1746008665.620547
2025-04-30 12:24:26,143 INFO    HandlerThread:156002 [system_monitor.py:start():187] Starting system monitor
2025-04-30 12:24:26,143 INFO    SystemMonitor:156002 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-30 12:24:26,143 INFO    HandlerThread:156002 [system_monitor.py:probe():207] Collecting system info
2025-04-30 12:24:26,143 INFO    SystemMonitor:156002 [interfaces.py:start():186] Started cpu monitoring
2025-04-30 12:24:26,144 INFO    SystemMonitor:156002 [interfaces.py:start():186] Started disk monitoring
2025-04-30 12:24:26,146 INFO    SystemMonitor:156002 [interfaces.py:start():186] Started gpu monitoring
2025-04-30 12:24:26,146 INFO    SystemMonitor:156002 [interfaces.py:start():186] Started memory monitoring
2025-04-30 12:24:26,147 INFO    SystemMonitor:156002 [interfaces.py:start():186] Started network monitoring
2025-04-30 12:24:26,269 INFO    HandlerThread:156002 [system_monitor.py:probe():217] Finished collecting system info
2025-04-30 12:24:26,269 INFO    HandlerThread:156002 [system_monitor.py:probe():220] Publishing system info
2025-04-30 12:24:27,105 INFO    Thread-12 :156002 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_122425-4lag5kew/files/conda-environment.yaml
2025-04-30 12:24:27,337 INFO    HandlerThread:156002 [system_monitor.py:probe():222] Finished publishing system info
2025-04-30 12:24:27,338 INFO    SenderThread:156002 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-30 12:24:27,988 INFO    wandb-upload_0:156002 [upload_job.py:push():130] Uploaded file /tmp/tmpcv0kjfkgwandb/yyitnrqb-wandb-metadata.json
2025-04-30 12:24:28,105 INFO    Thread-12 :156002 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_122425-4lag5kew/files/conda-environment.yaml
2025-04-30 12:24:28,105 INFO    Thread-12 :156002 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_122425-4lag5kew/files/output.log
2025-04-30 12:24:28,105 INFO    Thread-12 :156002 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_122425-4lag5kew/files/wandb-metadata.json
2025-04-30 12:24:28,105 INFO    Thread-12 :156002 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_122425-4lag5kew/files/requirements.txt
2025-04-30 12:24:30,106 INFO    Thread-12 :156002 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_122425-4lag5kew/files/output.log
2025-04-30 12:24:32,582 INFO    SenderThread:156002 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-30 12:24:33,107 INFO    Thread-12 :156002 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_122425-4lag5kew/files/wandb-summary.json
2025-04-30 12:24:33,394 INFO    SenderThread:156002 [sender.py:send_request_log_artifact():1487] logged artifact Neural_Network - {'id': 'QXJ0aWZhY3Q6MTY3NjQ3MDQzNw==', 'state': 'COMMITTED', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjU3ODM5NzE2Ng==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTY3NjcyOTkwNA==', 'versionIndex': 22}}}
2025-04-30 12:24:33,394 INFO    SenderThread:156002 [sender.py:send_exit():554] handling exit code: 0
2025-04-30 12:24:33,394 INFO    SenderThread:156002 [sender.py:send_exit():556] handling runtime: 7
2025-04-30 12:24:33,395 INFO    SenderThread:156002 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-30 12:24:33,395 INFO    SenderThread:156002 [sender.py:send_exit():562] send defer
2025-04-30 12:24:33,395 INFO    HandlerThread:156002 [handler.py:handle_request_defer():188] handle defer: 0
2025-04-30 12:24:33,395 INFO    SenderThread:156002 [sender.py:send_request_defer():578] handle sender defer: 0
2025-04-30 12:24:33,395 INFO    SenderThread:156002 [sender.py:transition_state():582] send defer: 1
2025-04-30 12:24:33,395 INFO    HandlerThread:156002 [handler.py:handle_request_defer():188] handle defer: 1
2025-04-30 12:24:33,395 INFO    SenderThread:156002 [sender.py:send_request_defer():578] handle sender defer: 1
