2025-04-30 12:30:00,400 INFO    StreamThr :159203 [internal.py:wandb_internal():83] W&B internal server running at pid: 159203, started at: 2025-04-30 12:30:00.400521
2025-04-30 12:30:00,403 INFO    WriterThread:159203 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/run-cxhs14bh.wandb
2025-04-30 12:30:00,873 INFO    SenderThread:159203 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files
2025-04-30 12:30:00,873 INFO    SenderThread:159203 [sender.py:_start_run_threads():1134] run started: cxhs14bh with start time 1746009000.399719
2025-04-30 12:30:00,900 INFO    HandlerThread:159203 [system_monitor.py:start():187] Starting system monitor
2025-04-30 12:30:00,900 INFO    SystemMonitor:159203 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-30 12:30:00,901 INFO    HandlerThread:159203 [system_monitor.py:probe():207] Collecting system info
2025-04-30 12:30:00,901 INFO    SystemMonitor:159203 [interfaces.py:start():186] Started cpu monitoring
2025-04-30 12:30:00,901 INFO    SystemMonitor:159203 [interfaces.py:start():186] Started disk monitoring
2025-04-30 12:30:00,901 INFO    SystemMonitor:159203 [interfaces.py:start():186] Started gpu monitoring
2025-04-30 12:30:00,902 INFO    SystemMonitor:159203 [interfaces.py:start():186] Started memory monitoring
2025-04-30 12:30:00,902 INFO    SystemMonitor:159203 [interfaces.py:start():186] Started network monitoring
2025-04-30 12:30:01,006 INFO    HandlerThread:159203 [system_monitor.py:probe():217] Finished collecting system info
2025-04-30 12:30:01,006 INFO    HandlerThread:159203 [system_monitor.py:probe():220] Publishing system info
2025-04-30 12:30:01,874 INFO    Thread-12 :159203 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/conda-environment.yaml
2025-04-30 12:30:01,876 INFO    HandlerThread:159203 [system_monitor.py:probe():222] Finished publishing system info
2025-04-30 12:30:01,879 INFO    SenderThread:159203 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-30 12:30:02,536 INFO    wandb-upload_0:159203 [upload_job.py:push():130] Uploaded file /tmp/tmp961w9wsbwandb/e5apdahi-wandb-metadata.json
2025-04-30 12:30:02,873 INFO    Thread-12 :159203 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/requirements.txt
2025-04-30 12:30:02,873 INFO    Thread-12 :159203 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/output.log
2025-04-30 12:30:02,873 INFO    Thread-12 :159203 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/wandb-metadata.json
2025-04-30 12:30:04,874 INFO    Thread-12 :159203 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/output.log
2025-04-30 12:30:11,927 INFO    SenderThread:159203 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-30 12:30:12,708 INFO    SenderThread:159203 [sender.py:send_request_log_artifact():1487] logged artifact Polynomial_Network - {'id': 'QXJ0aWZhY3Q6MTY3Njc1ODMwOA==', 'state': 'COMMITTED', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjYxNzM2OTY0Mw==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTY3Njc1ODMwOA==', 'versionIndex': 0}}}
2025-04-30 12:30:12,710 INFO    SenderThread:159203 [sender.py:send_exit():554] handling exit code: 0
2025-04-30 12:30:12,710 INFO    SenderThread:159203 [sender.py:send_exit():556] handling runtime: 11
2025-04-30 12:30:12,711 INFO    SenderThread:159203 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-30 12:30:12,711 INFO    SenderThread:159203 [sender.py:send_exit():562] send defer
2025-04-30 12:30:12,711 INFO    HandlerThread:159203 [handler.py:handle_request_defer():188] handle defer: 0
2025-04-30 12:30:12,711 INFO    SenderThread:159203 [sender.py:send_request_defer():578] handle sender defer: 0
2025-04-30 12:30:12,711 INFO    SenderThread:159203 [sender.py:transition_state():582] send defer: 1
2025-04-30 12:30:12,711 INFO    HandlerThread:159203 [handler.py:handle_request_defer():188] handle defer: 1
2025-04-30 12:30:12,711 INFO    SenderThread:159203 [sender.py:send_request_defer():578] handle sender defer: 1
2025-04-30 12:30:12,711 INFO    SenderThread:159203 [sender.py:transition_state():582] send defer: 2
2025-04-30 12:30:12,711 INFO    HandlerThread:159203 [handler.py:handle_request_defer():188] handle defer: 2
2025-04-30 12:30:12,711 INFO    HandlerThread:159203 [system_monitor.py:finish():196] Stopping system monitor
2025-04-30 12:30:12,712 INFO    HandlerThread:159203 [interfaces.py:finish():198] Joined cpu monitor
2025-04-30 12:30:12,712 INFO    HandlerThread:159203 [interfaces.py:finish():198] Joined disk monitor
2025-04-30 12:30:12,720 INFO    HandlerThread:159203 [interfaces.py:finish():198] Joined gpu monitor
2025-04-30 12:30:12,720 INFO    HandlerThread:159203 [interfaces.py:finish():198] Joined memory monitor
2025-04-30 12:30:12,720 INFO    HandlerThread:159203 [interfaces.py:finish():198] Joined network monitor
2025-04-30 12:30:12,720 INFO    SenderThread:159203 [sender.py:send_request_defer():578] handle sender defer: 2
2025-04-30 12:30:12,720 INFO    SenderThread:159203 [sender.py:transition_state():582] send defer: 3
2025-04-30 12:30:12,720 INFO    HandlerThread:159203 [handler.py:handle_request_defer():188] handle defer: 3
2025-04-30 12:30:12,721 INFO    SenderThread:159203 [sender.py:send_request_defer():578] handle sender defer: 3
2025-04-30 12:30:12,721 INFO    SenderThread:159203 [sender.py:transition_state():582] send defer: 4
2025-04-30 12:30:12,721 INFO    HandlerThread:159203 [handler.py:handle_request_defer():188] handle defer: 4
2025-04-30 12:30:12,721 INFO    SenderThread:159203 [sender.py:send_request_defer():578] handle sender defer: 4
2025-04-30 12:30:12,721 INFO    SenderThread:159203 [sender.py:transition_state():582] send defer: 5
2025-04-30 12:30:12,721 INFO    HandlerThread:159203 [handler.py:handle_request_defer():188] handle defer: 5
2025-04-30 12:30:12,722 INFO    SenderThread:159203 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-30 12:30:12,722 INFO    SenderThread:159203 [sender.py:send_request_defer():578] handle sender defer: 5
2025-04-30 12:30:12,722 INFO    SenderThread:159203 [sender.py:transition_state():582] send defer: 6
2025-04-30 12:30:12,722 INFO    HandlerThread:159203 [handler.py:handle_request_defer():188] handle defer: 6
2025-04-30 12:30:12,722 INFO    SenderThread:159203 [sender.py:send_request_defer():578] handle sender defer: 6
2025-04-30 12:30:12,876 INFO    Thread-12 :159203 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/wandb-summary.json
2025-04-30 12:30:12,929 INFO    SenderThread:159203 [sender.py:transition_state():582] send defer: 7
2025-04-30 12:30:12,930 INFO    HandlerThread:159203 [handler.py:handle_request_defer():188] handle defer: 7
2025-04-30 12:30:12,930 INFO    SenderThread:159203 [sender.py:send_request_defer():578] handle sender defer: 7
2025-04-30 12:30:13,876 INFO    Thread-12 :159203 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/config.yaml
2025-04-30 12:30:14,877 INFO    Thread-12 :159203 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/output.log
2025-04-30 12:30:16,205 INFO    SenderThread:159203 [sender.py:transition_state():582] send defer: 8
2025-04-30 12:30:16,206 INFO    HandlerThread:159203 [handler.py:handle_request_defer():188] handle defer: 8
2025-04-30 12:30:16,207 INFO    SenderThread:159203 [sender.py:send_request_defer():578] handle sender defer: 8
2025-04-30 12:30:16,207 INFO    SenderThread:159203 [sender.py:transition_state():582] send defer: 9
2025-04-30 12:30:16,207 INFO    HandlerThread:159203 [handler.py:handle_request_defer():188] handle defer: 9
2025-04-30 12:30:16,208 INFO    SenderThread:159203 [sender.py:send_request_defer():578] handle sender defer: 9
2025-04-30 12:30:16,208 INFO    SenderThread:159203 [dir_watcher.py:finish():359] shutting down directory watcher
2025-04-30 12:30:16,878 INFO    Thread-12 :159203 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/output.log
2025-04-30 12:30:16,879 INFO    SenderThread:159203 [dir_watcher.py:finish():389] scan: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files
2025-04-30 12:30:16,879 INFO    SenderThread:159203 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/output.log output.log
2025-04-30 12:30:16,879 INFO    SenderThread:159203 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/requirements.txt requirements.txt
2025-04-30 12:30:16,879 INFO    SenderThread:159203 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/wandb-metadata.json wandb-metadata.json
2025-04-30 12:30:16,880 INFO    SenderThread:159203 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/config.yaml config.yaml
2025-04-30 12:30:16,880 INFO    SenderThread:159203 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/conda-environment.yaml conda-environment.yaml
2025-04-30 12:30:16,880 INFO    SenderThread:159203 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123000-cxhs14bh/files/wandb-summary.json wandb-summary.json
2025-04-30 12:30:16,880 INFO    SenderThread:159203 [sender.py:transition_state():582] send defer: 10
2025-04-30 12:30:16,880 INFO    HandlerThread:159203 [handler.py:handle_request_defer():188] handle defer: 10
2025-04-30 12:30:16,881 INFO    SenderThread:159203 [sender.py:send_request_defer():578] handle sender defer: 10
