2025-04-30 12:38:06,882 INFO    StreamThr :163938 [internal.py:wandb_internal():83] W&B internal server running at pid: 163938, started at: 2025-04-30 12:38:06.881640
2025-04-30 12:38:06,885 INFO    WriterThread:163938 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/run-inl4qc4t.wandb
2025-04-30 12:38:07,362 INFO    SenderThread:163938 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files
2025-04-30 12:38:07,362 INFO    SenderThread:163938 [sender.py:_start_run_threads():1134] run started: inl4qc4t with start time 1746009486.880864
2025-04-30 12:38:07,414 INFO    HandlerThread:163938 [system_monitor.py:start():187] Starting system monitor
2025-04-30 12:38:07,415 INFO    SystemMonitor:163938 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-30 12:38:07,415 INFO    HandlerThread:163938 [system_monitor.py:probe():207] Collecting system info
2025-04-30 12:38:07,415 INFO    SystemMonitor:163938 [interfaces.py:start():186] Started cpu monitoring
2025-04-30 12:38:07,415 INFO    SystemMonitor:163938 [interfaces.py:start():186] Started disk monitoring
2025-04-30 12:38:07,416 INFO    SystemMonitor:163938 [interfaces.py:start():186] Started gpu monitoring
2025-04-30 12:38:07,416 INFO    SystemMonitor:163938 [interfaces.py:start():186] Started memory monitoring
2025-04-30 12:38:07,418 INFO    SystemMonitor:163938 [interfaces.py:start():186] Started network monitoring
2025-04-30 12:38:07,621 INFO    HandlerThread:163938 [system_monitor.py:probe():217] Finished collecting system info
2025-04-30 12:38:07,621 INFO    HandlerThread:163938 [system_monitor.py:probe():220] Publishing system info
2025-04-30 12:38:08,363 INFO    Thread-12 :163938 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/conda-environment.yaml
2025-04-30 12:38:08,638 INFO    HandlerThread:163938 [system_monitor.py:probe():222] Finished publishing system info
2025-04-30 12:38:08,639 INFO    SenderThread:163938 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-30 12:38:09,281 INFO    wandb-upload_0:163938 [upload_job.py:push():130] Uploaded file /tmp/tmp9mqtiinowandb/hsmebbar-wandb-metadata.json
2025-04-30 12:38:09,363 INFO    Thread-12 :163938 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/conda-environment.yaml
2025-04-30 12:38:09,363 INFO    Thread-12 :163938 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/output.log
2025-04-30 12:38:09,363 INFO    Thread-12 :163938 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/wandb-metadata.json
2025-04-30 12:38:09,363 INFO    Thread-12 :163938 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/requirements.txt
2025-04-30 12:38:11,364 INFO    Thread-12 :163938 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/output.log
2025-04-30 12:38:22,479 INFO    SenderThread:163938 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-30 12:38:23,367 INFO    Thread-12 :163938 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/wandb-summary.json
2025-04-30 12:38:23,417 INFO    SenderThread:163938 [sender.py:send_request_log_artifact():1487] logged artifact Neural_Network - {'id': 'QXJ0aWZhY3Q6MTY3NjQ3MDQzNw==', 'state': 'COMMITTED', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjU3ODM5NzE2Ng==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTY3NjcyOTkwNA==', 'versionIndex': 22}}}
2025-04-30 12:38:23,419 INFO    SenderThread:163938 [sender.py:send_exit():554] handling exit code: 0
2025-04-30 12:38:23,419 INFO    SenderThread:163938 [sender.py:send_exit():556] handling runtime: 16
2025-04-30 12:38:23,419 INFO    SenderThread:163938 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-30 12:38:23,419 INFO    SenderThread:163938 [sender.py:send_exit():562] send defer
2025-04-30 12:38:23,419 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 0
2025-04-30 12:38:23,419 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 0
2025-04-30 12:38:23,419 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 1
2025-04-30 12:38:23,419 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 1
2025-04-30 12:38:23,420 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 1
2025-04-30 12:38:23,420 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 2
2025-04-30 12:38:23,420 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 2
2025-04-30 12:38:23,420 INFO    HandlerThread:163938 [system_monitor.py:finish():196] Stopping system monitor
2025-04-30 12:38:23,420 INFO    HandlerThread:163938 [interfaces.py:finish():198] Joined cpu monitor
2025-04-30 12:38:23,420 INFO    HandlerThread:163938 [interfaces.py:finish():198] Joined disk monitor
2025-04-30 12:38:23,426 INFO    HandlerThread:163938 [interfaces.py:finish():198] Joined gpu monitor
2025-04-30 12:38:23,426 INFO    HandlerThread:163938 [interfaces.py:finish():198] Joined memory monitor
2025-04-30 12:38:23,426 INFO    HandlerThread:163938 [interfaces.py:finish():198] Joined network monitor
2025-04-30 12:38:23,426 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 2
2025-04-30 12:38:23,426 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 3
2025-04-30 12:38:23,426 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 3
2025-04-30 12:38:23,427 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 3
2025-04-30 12:38:23,427 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 4
2025-04-30 12:38:23,427 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 4
2025-04-30 12:38:23,427 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 4
2025-04-30 12:38:23,427 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 5
2025-04-30 12:38:23,427 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 5
2025-04-30 12:38:23,427 INFO    SenderThread:163938 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-30 12:38:23,427 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 5
2025-04-30 12:38:23,427 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 6
2025-04-30 12:38:23,427 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 6
2025-04-30 12:38:23,427 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 6
2025-04-30 12:38:23,640 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 7
2025-04-30 12:38:23,641 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 7
2025-04-30 12:38:23,641 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 7
2025-04-30 12:38:24,367 INFO    Thread-12 :163938 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/config.yaml
2025-04-30 12:38:24,368 INFO    Thread-12 :163938 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/wandb-summary.json
2025-04-30 12:38:25,368 INFO    Thread-12 :163938 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/output.log
2025-04-30 12:38:26,953 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 8
2025-04-30 12:38:26,954 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 8
2025-04-30 12:38:26,955 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 8
2025-04-30 12:38:26,955 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 9
2025-04-30 12:38:26,956 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 9
2025-04-30 12:38:26,956 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 9
2025-04-30 12:38:26,956 INFO    SenderThread:163938 [dir_watcher.py:finish():359] shutting down directory watcher
2025-04-30 12:38:27,369 INFO    Thread-12 :163938 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/output.log
2025-04-30 12:38:27,370 INFO    SenderThread:163938 [dir_watcher.py:finish():389] scan: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files
2025-04-30 12:38:27,370 INFO    SenderThread:163938 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/output.log output.log
2025-04-30 12:38:27,370 INFO    SenderThread:163938 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/requirements.txt requirements.txt
2025-04-30 12:38:27,371 INFO    SenderThread:163938 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/wandb-metadata.json wandb-metadata.json
2025-04-30 12:38:27,371 INFO    SenderThread:163938 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/config.yaml config.yaml
2025-04-30 12:38:27,371 INFO    SenderThread:163938 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/conda-environment.yaml conda-environment.yaml
2025-04-30 12:38:27,371 INFO    SenderThread:163938 [dir_watcher.py:finish():403] scan save: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/wandb-summary.json wandb-summary.json
2025-04-30 12:38:27,371 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 10
2025-04-30 12:38:27,372 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 10
2025-04-30 12:38:27,377 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 10
2025-04-30 12:38:27,377 INFO    SenderThread:163938 [file_pusher.py:finish():169] shutting down file pusher
2025-04-30 12:38:27,787 INFO    wandb-upload_1:163938 [upload_job.py:push():130] Uploaded file /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/requirements.txt
2025-04-30 12:38:27,883 INFO    wandb-upload_0:163938 [upload_job.py:push():130] Uploaded file /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/output.log
2025-04-30 12:38:27,884 INFO    wandb-upload_4:163938 [upload_job.py:push():130] Uploaded file /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/wandb-summary.json
2025-04-30 12:38:27,885 INFO    wandb-upload_3:163938 [upload_job.py:push():130] Uploaded file /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/conda-environment.yaml
2025-04-30 12:38:27,896 INFO    wandb-upload_2:163938 [upload_job.py:push():130] Uploaded file /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/files/config.yaml
2025-04-30 12:38:28,096 INFO    Thread-11 (_thread_body):163938 [sender.py:transition_state():582] send defer: 11
2025-04-30 12:38:28,097 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 11
2025-04-30 12:38:28,098 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 11
2025-04-30 12:38:28,098 INFO    SenderThread:163938 [file_pusher.py:join():175] waiting for file pusher
2025-04-30 12:38:28,098 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 12
2025-04-30 12:38:28,098 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 12
2025-04-30 12:38:28,098 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 12
2025-04-30 12:38:28,098 INFO    SenderThread:163938 [file_stream.py:finish():601] file stream finish called
2025-04-30 12:38:28,277 INFO    SenderThread:163938 [file_stream.py:finish():605] file stream finish is done
2025-04-30 12:38:28,277 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 13
2025-04-30 12:38:28,277 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 13
2025-04-30 12:38:28,277 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 13
2025-04-30 12:38:28,277 INFO    SenderThread:163938 [sender.py:transition_state():582] send defer: 14
2025-04-30 12:38:28,277 INFO    HandlerThread:163938 [handler.py:handle_request_defer():188] handle defer: 14
2025-04-30 12:38:28,277 INFO    SenderThread:163938 [sender.py:send_request_defer():578] handle sender defer: 14
2025-04-30 12:38:28,280 INFO    MainThread:163938 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-04-30 12:38:28,280 INFO    MainThread:163938 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-04-30 12:38:28,280 INFO    MainThread:163938 [wandb_run.py:_footer_sync_info():3917] logging synced files
2025-04-30 12:38:28,280 INFO    HandlerThread:163938 [handler.py:finish():897] shutting down handler
2025-04-30 12:38:29,279 INFO    WriterThread:163938 [datastore.py:close():296] close: /home/thousig/fagproject/02466_project/wandb/run-20250430_123806-inl4qc4t/run-inl4qc4t.wandb
2025-04-30 12:38:29,279 INFO    SenderThread:163938 [sender.py:finish():1582] shutting down sender
2025-04-30 12:38:29,279 INFO    SenderThread:163938 [file_pusher.py:finish():169] shutting down file pusher
2025-04-30 12:38:29,280 INFO    SenderThread:163938 [file_pusher.py:join():175] waiting for file pusher
