2025-04-30 12:38:37,901 INFO    StreamThr :164186 [internal.py:wandb_internal():83] W&B internal server running at pid: 164186, started at: 2025-04-30 12:38:37.900750
2025-04-30 12:38:37,904 INFO    WriterThread:164186 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250430_123837-ycxlkgqh/run-ycxlkgqh.wandb
2025-04-30 12:38:38,449 INFO    SenderThread:164186 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250430_123837-ycxlkgqh/files
2025-04-30 12:38:38,449 INFO    SenderThread:164186 [sender.py:_start_run_threads():1134] run started: ycxlkgqh with start time 1746009517.899845
2025-04-30 12:38:38,483 INFO    HandlerThread:164186 [system_monitor.py:start():187] Starting system monitor
2025-04-30 12:38:38,483 INFO    SystemMonitor:164186 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-30 12:38:38,483 INFO    HandlerThread:164186 [system_monitor.py:probe():207] Collecting system info
2025-04-30 12:38:38,483 INFO    SystemMonitor:164186 [interfaces.py:start():186] Started cpu monitoring
2025-04-30 12:38:38,484 INFO    SystemMonitor:164186 [interfaces.py:start():186] Started disk monitoring
2025-04-30 12:38:38,485 INFO    SystemMonitor:164186 [interfaces.py:start():186] Started gpu monitoring
2025-04-30 12:38:38,487 INFO    SystemMonitor:164186 [interfaces.py:start():186] Started memory monitoring
2025-04-30 12:38:38,487 INFO    SystemMonitor:164186 [interfaces.py:start():186] Started network monitoring
2025-04-30 12:38:38,598 INFO    HandlerThread:164186 [system_monitor.py:probe():217] Finished collecting system info
2025-04-30 12:38:38,598 INFO    HandlerThread:164186 [system_monitor.py:probe():220] Publishing system info
2025-04-30 12:38:39,416 INFO    HandlerThread:164186 [system_monitor.py:probe():222] Finished publishing system info
2025-04-30 12:38:39,417 INFO    SenderThread:164186 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-30 12:38:39,449 INFO    Thread-12 :164186 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_123837-ycxlkgqh/files/requirements.txt
