2025-04-30 12:40:17,299 INFO    StreamThr :165149 [internal.py:wandb_internal():83] W&B internal server running at pid: 165149, started at: 2025-04-30 12:40:17.298309
2025-04-30 12:40:17,301 INFO    WriterThread:165149 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250430_124017-aj8j99j3/run-aj8j99j3.wandb
2025-04-30 12:40:17,749 INFO    SenderThread:165149 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250430_124017-aj8j99j3/files
2025-04-30 12:40:17,749 INFO    SenderThread:165149 [sender.py:_start_run_threads():1134] run started: aj8j99j3 with start time 1746009617.296705
2025-04-30 12:40:17,791 INFO    HandlerThread:165149 [system_monitor.py:start():187] Starting system monitor
2025-04-30 12:40:17,791 INFO    SystemMonitor:165149 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-30 12:40:17,791 INFO    HandlerThread:165149 [system_monitor.py:probe():207] Collecting system info
2025-04-30 12:40:17,792 INFO    SystemMonitor:165149 [interfaces.py:start():186] Started cpu monitoring
2025-04-30 12:40:17,793 INFO    SystemMonitor:165149 [interfaces.py:start():186] Started disk monitoring
2025-04-30 12:40:17,794 INFO    SystemMonitor:165149 [interfaces.py:start():186] Started gpu monitoring
2025-04-30 12:40:17,795 INFO    SystemMonitor:165149 [interfaces.py:start():186] Started memory monitoring
2025-04-30 12:40:17,795 INFO    SystemMonitor:165149 [interfaces.py:start():186] Started network monitoring
2025-04-30 12:40:17,894 INFO    HandlerThread:165149 [system_monitor.py:probe():217] Finished collecting system info
2025-04-30 12:40:17,894 INFO    HandlerThread:165149 [system_monitor.py:probe():220] Publishing system info
2025-04-30 12:40:18,711 INFO    HandlerThread:165149 [system_monitor.py:probe():222] Finished publishing system info
2025-04-30 12:40:18,712 INFO    SenderThread:165149 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-30 12:40:18,749 INFO    Thread-12 :165149 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_124017-aj8j99j3/files/requirements.txt
2025-04-30 12:40:18,749 INFO    Thread-12 :165149 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_124017-aj8j99j3/files/conda-environment.yaml
2025-04-30 12:40:18,749 INFO    Thread-12 :165149 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_124017-aj8j99j3/files/wandb-metadata.json
2025-04-30 12:40:19,387 INFO    wandb-upload_0:165149 [upload_job.py:push():130] Uploaded file /tmp/tmpivkinag8wandb/2wow543g-wandb-metadata.json
2025-04-30 12:40:19,749 INFO    Thread-12 :165149 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_124017-aj8j99j3/files/output.log
2025-04-30 12:40:21,749 INFO    Thread-12 :165149 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/thousig/fagproject/02466_project/wandb/run-20250430_124017-aj8j99j3/files/output.log
2025-04-30 12:40:21,890 INFO    SenderThread:165149 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-30 12:40:22,703 INFO    SenderThread:165149 [sender.py:send_request_log_artifact():1487] logged artifact Neural_Network - {'id': 'QXJ0aWZhY3Q6MTY3NjQ3MDQzNw==', 'state': 'COMMITTED', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjU3ODM5NzE2Ng==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTY3NjcyOTkwNA==', 'versionIndex': 22}}}
2025-04-30 12:40:22,704 INFO    SenderThread:165149 [sender.py:send_exit():554] handling exit code: 0
2025-04-30 12:40:22,704 INFO    SenderThread:165149 [sender.py:send_exit():556] handling runtime: 4
