2025-04-30 12:42:12,877 INFO    StreamThr :166264 [internal.py:wandb_internal():83] W&B internal server running at pid: 166264, started at: 2025-04-30 12:42:12.876414
2025-04-30 12:42:12,880 INFO    WriterThread:166264 [datastore.py:open_for_write():87] open: /home/thousig/fagproject/02466_project/wandb/run-20250430_124212-s5k0fa13/run-s5k0fa13.wandb
2025-04-30 12:42:13,295 INFO    SenderThread:166264 [dir_watcher.py:__init__():211] watching files in: /home/thousig/fagproject/02466_project/wandb/run-20250430_124212-s5k0fa13/files
2025-04-30 12:42:13,295 INFO    SenderThread:166264 [sender.py:_start_run_threads():1134] run started: s5k0fa13 with start time 1746009732.875412
2025-04-30 12:42:13,347 INFO    HandlerThread:166264 [system_monitor.py:start():187] Starting system monitor
2025-04-30 12:42:13,347 INFO    SystemMonitor:166264 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-30 12:42:13,347 INFO    HandlerThread:166264 [system_monitor.py:probe():207] Collecting system info
2025-04-30 12:42:13,348 INFO    SystemMonitor:166264 [interfaces.py:start():186] Started cpu monitoring
2025-04-30 12:42:13,348 INFO    SystemMonitor:166264 [interfaces.py:start():186] Started disk monitoring
2025-04-30 12:42:13,349 INFO    SystemMonitor:166264 [interfaces.py:start():186] Started gpu monitoring
2025-04-30 12:42:13,349 INFO    SystemMonitor:166264 [interfaces.py:start():186] Started memory monitoring
2025-04-30 12:42:13,350 INFO    SystemMonitor:166264 [interfaces.py:start():186] Started network monitoring
2025-04-30 12:42:13,493 INFO    HandlerThread:166264 [system_monitor.py:probe():217] Finished collecting system info
2025-04-30 12:42:13,493 INFO    HandlerThread:166264 [system_monitor.py:probe():220] Publishing system info
2025-04-30 12:42:14,296 INFO    Thread-12 :166264 [dir_watcher.py:_on_file_created():272] file/dir created: /home/thousig/fagproject/02466_project/wandb/run-20250430_124212-s5k0fa13/files/conda-environment.yaml
2025-04-30 12:42:14,410 INFO    HandlerThread:166264 [system_monitor.py:probe():222] Finished publishing system info
2025-04-30 12:42:14,412 INFO    SenderThread:166264 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
